sentence,relation_type
The_bf DRUG rapidly_be growing_be class_be OTHER_DRUG broad_af spectrum_af activity_af gram-negative_af gram-positive_af aerobic_af bacteria_af ._af,advise
(Concurrent_bf use_bf thiazide_bf diuretics_bf may_bf enhance_bf possibility_bf OTHER_DRUG toxicity_be associated_be hypokalemia_be ._be )_be,advise
"(Concurrent_bf use_bf thiazide_bf diuretics_bf recommended_bf ,_bf may_bf provoke_bf OTHER_DRUG toxicity_be reduced_be renal_be clearance_be ._be )_be",advise
"(ii)_bf effects_bf DRUG efficiently_be inhibited_be added_be cholesterol_be ,_be major_be membrane_be sterol_be human_be cells_be ,_be whereas_be effects_be amphotericin_be B_be efficiently_be inhibited_be ergosterol_be ,_be major_be membrane_be sterol_be yeast_be ._be",advise
"(In_bf patients_bf ,_bf steroidal_bf anti-inflammatory_bf agent_bf reduce_bf diuretic_bf ,_bf natriuretic_bf ,_bf antihypertensive_bf effects_bf loop_bf ,_bf potassium_bf sparing_bf ,_bf thiazide_bf diuretics_bf ._bf",advise
"(In_bf patients_bf ,_bf steroidal_bf anti-inflammatory_bf agent_bf reduce_bf diuretic_bf ,_bf natriuretic_bf ,_bf antihypertensive_bf effects_bf loop_bf ,_bf potassium_bf sparing_bf ,_bf thiazide_bf diuretics_bf ._bf",advise
"(In_bf patients_bf ,_bf steroidal_bf anti-inflammatory_bf agent_bf reduce_bf diuretic_bf ,_bf natriuretic_bf ,_bf antihypertensive_bf effects_bf loop_bf ,_bf potassium_bf sparing_bf ,_bf thiazide_bf diuretics_bf ._bf",advise
"(In_bf patients_bf ,_bf steroidal_bf anti-inflammatory_bf agent_bf reduce_bf diuretic_bf ,_bf natriuretic_bf ,_bf antihypertensive_bf effects_bf loop_bf ,_bf potassium_bf sparing_bf ,_bf thiazide_bf diuretics_bf ._bf",advise
"(In_bf patients_bf ,_bf steroidal_bf anti-inflammatory_bf agent_bf reduce_bf diuretic_bf ,_bf natriuretic_bf ,_bf antihypertensive_bf effects_bf loop_bf ,_bf potassium_bf sparing_bf ,_bf thiazide_bf diuretics_bf ._bf",advise
"(In_bf patients_bf ,_bf steroidal_bf anti-inflammatory_bf agent_bf reduce_bf diuretic_bf ,_bf natriuretic_bf ,_bf antihypertensive_bf effects_bf loop_bf ,_bf potassium_bf sparing_bf ,_bf thiazide_bf diuretics_bf ._bf",advise
